date,VTSMX,VBLTX,IEMG,VIX,VTI,MUB,VBR,SPTR,BND,VEA,VTV
19941101,8.1004087207,2.7763829581,15.0333116381,14.84,16.4416823327,36.4784161364,14.7696842765,583.981,27.7643927429,17.2289149181,13.5653364545
19941102,8.0796384419,2.7669394786,15.0333116381,15.34,16.3995241729,36.2539335755,14.7951932304,581.647,27.7039038698,17.1510925701,13.5300406961
19941103,8.1004087207,2.7637916521,14.8542014915,15.58,16.4416823327,36.104278535,14.8079477073,583.486,27.6736594332,16.9922714518,13.58886696
19941104,8.0242510319,2.7480525197,14.9855489324,16.75,16.2871024133,35.9172097343,14.7569297996,576.746,27.6131705602,16.9462133275,13.4241534211
19941107,8.0242510319,2.7449046932,15.0094302853,17.37,16.2871024133,35.580485893,14.7059118919,577.906,27.5829261236,16.8938023584,13.4359186739
19941108,8.0657915894,2.7512003462,14.9974896088,16.3,16.371418733,35.580485893,14.7314208458,581.267,27.6131705602,16.9223901597,13.482979685
19941109,8.0588681632,2.7669394786,15.057192991,16.42,16.357366013,35.7301409336,14.7059118919,581.011,27.7039038698,16.8080389545,13.4359186739
19941110,8.0380978844,2.7543481727,14.866142168,16,16.3152078532,35.7301409336,14.6676484612,579.757,27.6736594332,16.7016288052,13.37709241
19941111,8.0034807531,2.7512003462,14.8183794622,16.5,16.2449442535,35.4308308524,14.6038760765,577.235,27.6434149967,16.7032170164,13.3065008933
19941114,8.0657915894,2.7669394786,14.8064387858,16.68,16.371418733,35.5056583727,14.6293850304,581.983,27.7039038698,16.5999832895,13.3888576628
19941115,8.0519447369,2.7763829581,14.9258455502,16.66,16.3433132931,35.5056583727,14.6166305535,580.746,27.7341483063,16.7651572526,13.3888576628
19941116,8.0588681632,2.7637916521,14.9258455502,15.56,16.357366013,35.4682446126,14.6038760765,581.563,27.6434149967,16.6682763704,13.4006229156
19941117,8.0242510319,2.7512003462,14.7944981093,15.38,16.2871024133,35.2811758119,14.5401036919,579.04,27.5829261236,16.6682763704,13.3300313989
19941118,7.9896339006,2.7543481727,14.6273286392,16,16.2168388136,35.2811758119,14.527349215,576.539,27.6131705602,16.6190418237,13.2241441239
19941121,7.9342464905,2.7512003462,14.4362778161,16.13,16.1044170541,35.0941070112,14.4635768304,572.603,27.5829261236,16.5412194757,13.16531786
19941122,7.7888545391,2.7637916521,14.3168710517,17.24,15.8093099353,35.1315207713,14.2722596765,562.349,27.6131705602,16.4189272146,12.9653085627
19941123,7.7750076866,2.8015655699,13.9347694057,18.41,15.7812044954,35.580485893,14.1829783381,562.226,27.8248816159,16.2299300837,13.0359000794
19941125,7.8234716704,2.8047133964,13.9944727879,17.44,15.879573535,35.580485893,14.2467507227,565.387,27.8248816159,16.1536959469,13.1064915961
19941128,7.8580888017,2.795269917,14.0064134643,16.83,15.9498371347,35.580485893,14.2467507227,567.827,27.7341483063,16.1997540712,13.1300221016
19941129,7.8719356542,2.7795307845,14.1497015816,16.15,15.9779425746,35.5430721329,14.298322671,569.121,27.6131705602,16.2886938975,13.16531786
19941130,7.8580888017,2.8103794841,14.2094049638,15.95,15.9498371347,36.0780889029,14.3498946193,567.286,27.8339549469,16.3696926679,13.1770831128
19941201,7.7819311129,2.8040426645,14.0899981994,16.69,15.7952572153,36.1533299642,14.2596437098,561.426,27.803535324,16.3426930778,13.0241348266
19941202,7.8373185229,2.8325583526,13.8273033177,16.55,15.9076789749,36.5671558014,14.2725366969,566.989,27.9252138156,16.1266963568,13.1535526072
19941205,7.8442419492,2.826221533,13.863125347,16.1,15.9217316948,36.7176379241,14.2725366969,567.11,27.8643745698,16.258517885,13.1770831128
19941206,7.8303950967,2.8484004016,13.8750660234,16.05,15.8936262549,36.7176379241,14.2080717615,566.867,27.9860530614,16.2521650403,13.1770831128
19941207,7.7888545391,2.8357267624,13.8870066999,16.28,15.8093099353,36.5295352708,14.130713839,564.533,27.9252138156,16.2426357732,13.1182568489
19941208,7.678079719,2.8388951722,13.8034219648,17.23,15.5844664162,36.5295352708,13.9244260457,557.323,27.8947941927,16.0758735989,12.9770738155
19941209,7.6919265715,2.8452319918,13.564608436,15.76,15.6125718561,36.6423968628,13.8728540974,559.452,27.9252138156,15.9138760582,13.0241348266
19941212,7.7196202766,2.8293899428,13.5407270831,15.46,15.6687827359,36.5671558014,13.8599611103,562.641,27.8339549469,15.8678179339,13.0947263433
19941213,7.7334671291,2.842063582,13.5884897889,14.94,15.6968881757,36.7176379241,13.8599611103,563.533,27.8643745698,15.8312890767,13.1064915961
19941214,7.8165482442,2.8452319918,13.8034219648,13.03,15.8655208151,36.8304995161,13.9373190328,569.578,27.9252138156,15.9059350023,13.2359093767
19941215,7.8442419492,2.842063582,13.8511846706,12.87,15.9217316948,36.8304995161,14.0791418907,570.086,27.9252138156,16.0377565305,13.2359093767
19941216,7.892705933,2.842063582,13.8153626412,12.79,16.0201007344,36.7928789854,14.1436068261,574.426,27.9252138156,16.0726971766,13.3300313989
19941219,7.8719356542,2.8484004016,13.8511846706,13.02,15.9779425746,36.8304995161,14.130713839,573.329,27.9252138156,16.1219317233,13.3065008933
19941220,7.865012228,2.8452319918,13.5884897889,12.98,15.9638898547,36.8304995161,14.130713839,572.342,27.9252138156,16.2045187048,13.2829703878
19941221,7.9134762118,2.8484004016,13.4093796423,12.05,16.0622588943,36.8304995161,14.2338577356,575.495,27.9556334385,16.2267536614,13.3300313989
19941222,7.920399638,2.842063582,13.1228034077,12.42,16.0763116142,36.8304995161,14.2596437098,575.575,27.8947941927,16.3315755995,13.3300313989
19941223,7.9342464905,2.8515688114,13.1347440842,11.82,16.1044170541,36.8304995161,14.298322671,576.206,27.8947941927,16.3490459225,13.3653271572
19941227,7.9757870481,2.8705792701,12.776523791,12.07,16.1887333737,36.9809816387,14.3370016323,579.53,27.9860530614,16.361751612,13.4241534211
19941228,7.9273230643,2.8547372211,12.9317525847,12.81,16.0903643341,36.9809816387,14.2918761775,577.512,27.9556334385,16.3601634008,13.3653271572
19941229,7.941279619,2.8452319918,13.0519361589,12.86,16.1186924404,36.9809816387,14.3306075492,577.917,27.8947941927,16.3649280343,13.3773247579
19941230,7.9343013416,2.8579056309,13.0639545163,13.2,16.1045283872,37.1991807165,14.4984434935,575.705,28.0590601563,16.3649280343,13.3413319559
19950103,7.9203447869,2.8451471237,12.7274405085,14.25,16.076200281,37.0836553106,14.4597121218,575.521,27.9672638854,16.3681044567,13.3773247579
19950104,7.9482578963,2.8642848846,12.5832202195,13.53,16.1328564935,37.1606722479,14.4984434935,577.691,28.0896589133,16.2823410528,13.4733055633
19950105,7.9482578963,2.8515263773,12.6673487214,13.5,16.1328564935,37.1606722479,14.5371748653,577.296,27.9978626423,16.2696353633,13.4613079627
19950106,7.962214451,2.8579056309,12.5231284324,13.13,16.1611845997,37.2761976538,14.575906237,577.724,28.0284613993,16.1552841581,13.5092983654
19950109,7.9691927283,2.8515263773,12.2226694969,13.33,16.1753486528,37.2761976538,14.627548066,577.982,27.9978626423,16.0996967667,13.5212959661
19950110,7.983149283,2.8610952578,11.7900086297,12.52,16.203676759,37.3532145911,14.6404585233,579.053,28.0590601563,16.1616370028,13.5092983654
19950111,7.983149283,2.8642848846,11.8861554891,12.15,16.203676759,37.5457569344,14.6017271515,579.028,28.0896589133,16.258517885,13.485303164
19950112,7.983149283,2.8547160041,11.9823023484,12.83,16.203676759,37.5457569344,14.6017271515,579.002,28.0896589133,16.1934012265,13.4973007647
19950113,8.0529320565,2.8866122723,12.0784492078,11.1,16.3453172901,37.7382992776,14.6921003523,584.542,28.2426526982,16.1679898476,13.6292743722
19950116,8.1157365526,2.8802330187,12.1505593523,11.14,16.4727937681,37.699790809,14.7566526385,588.82,28.2426526982,16.3252227547,13.7372527783
19950117,8.1366713846,2.8834226455,12.3067979988,11.79,16.5152859275,37.7382992776,14.7953840103,589.676,28.2426526982,16.3252227547,13.749250379
19950118,8.1296931073,2.8834226455,12.2707429265,11.57,16.5011218744,37.8153162149,14.782473553,589.269,28.2120539412,16.1409902575,13.7372527783
19950119,8.0808451659,2.8770433919,11.9462472762,11.86,16.4019735026,37.8153162149,14.730831724,585.804,28.1814551843,15.9964630398,13.6412719729
19950120,8.0459537791,2.8579056309,11.7419352,12.15,16.331153237,37.699790809,14.6662794378,583.082,28.0896589133,15.8964057352,13.5932815701
19950123,8.0459537791,2.8547160041,11.36936612,12.79,16.331153237,37.584265403,14.6017271515,584.405,28.0896589133,15.3881781565,13.6412719729
19950124,8.0599103338,2.8483367505,11.3813844774,11.94,16.3594813432,37.584265403,14.6533689805,584.523,28.0590601563,15.5390582189,13.6412719729
19950125,8.0738668885,2.8674745114,11.5376231239,11.46,16.3878094495,37.584265403,14.6662794378,586.594,28.1508564273,15.5501756972,13.7132575769
19950126,8.0878234432,2.873853765,11.6337699832,11.25,16.4161375557,37.7382992776,14.6533689805,587.721,28.2120539412,15.5962338215,13.7132575769
19950127,8.1157365526,2.8993707796,11.5736781961,11.25,16.4727937681,37.9693500895,14.6921003523,590.325,28.3650477262,15.6279980452,13.7372527783
19950130,8.0808451659,2.8993707796,11.3813844774,12.26,16.4019735026,37.9693500895,14.6146376088,588.077,28.3650477262,15.9138760582,13.6532695735
19950131,8.1087582753,2.9309480851,11.6698250555,11.96,16.458629715,38.4083466322,14.6404585233,590.635,28.5914785279,15.8757589898,13.7012599763
19950201,8.1227148299,2.9181071296,11.7659719149,11.73,16.4869578212,38.4470647235,14.6662794378,590.646,28.4991486726,15.842406555,13.7132575769
19950202,8.164584494,2.9181071296,11.7419352,11.13,16.5719421399,38.4470647235,14.6921003523,593.73,28.4683720541,15.8344654991,13.785243181
19950203,8.2622803768,2.956629996,12.0183574207,10.98,16.7702388835,38.8342456372,14.7953840103,601.132,28.7453616201,15.8106423313,13.9652071912
19950206,8.3111283183,2.9502095183,12.2707429265,11.22,16.8693872552,38.8342456372,14.8599362965,604.563,28.6838083832,15.9392874372,14.0131975939
19950207,8.3111283183,2.9502095183,12.2346878543,11.17,16.8693872552,38.9503999112,14.8986676683,604.219,28.6838083832,15.8916411017,14.0011999933
19950208,8.325084873,2.9469992794,12.1385409949,11.42,16.8977153615,38.9503999112,14.9373990401,604.743,28.6838083832,15.8027012754,14.0011999933
19950209,8.3181065956,2.9405788017,12.0183574207,11.63,16.8835513084,38.9503999112,14.9761304118,603.616,28.6222551463,15.8011130642,13.9652071912
19950210,8.3390414276,2.9277378462,11.9943207059,11.57,16.9260434677,38.9503999112,15.0277722408,605.326,28.5607019094,15.9234053253,14.0011999933
19950213,8.346019705,2.9309480851,11.9582656336,11.41,16.9402075208,38.8729637285,15.0535931553,605.712,28.5607019094,15.9218171141,14.0371927953
19950214,8.3529979823,2.9469992794,11.8140453446,11.43,16.9543715739,38.9891180026,15.0406826981,606.957,28.6838083832,15.816995176,14.085183198
