date,leverage
2000-01-03,0.000000
2000-01-04,0.992246
2000-01-05,1.001695
2000-01-06,0.997969
2000-01-07,0.999667
2000-01-10,0.999547
2000-01-11,1.003158
2000-01-12,0.999544
2000-01-13,1.003220
2000-01-14,0.995490
2000-01-18,0.998441
2000-01-19,0.999186
2000-01-20,1.001342
2000-01-21,0.997746
2000-01-24,0.998117
2000-01-25,0.999144
2000-01-26,0.999835
2000-01-27,0.995378
2000-01-28,0.996455
2000-01-31,0.997369
2000-02-01,1.001234
2000-02-02,1.000788
2000-02-03,1.004879
2000-02-04,0.997380
2000-02-07,0.999194
2000-02-08,1.001843
2000-02-09,1.002163
2000-02-10,0.997601
2000-02-11,1.000709
2000-02-14,0.998516
2000-02-15,1.001397
2000-02-16,1.001752
2000-02-17,1.000837
2000-02-18,0.998997
2000-02-22,1.004288
2000-02-23,1.001414
2000-02-24,0.996790
2000-02-25,0.994152
2000-02-28,0.999306
2000-02-29,0.998133
2000-03-01,1.002790
2000-03-02,0.997272
2000-03-03,0.999091
2000-03-06,0.995423
2000-03-07,1.000135
2000-03-08,1.004731
2000-03-09,1.007830
2000-03-10,0.998108
2000-03-13,1.001162
2000-03-14,1.000505
2000-03-15,0.997961
2000-03-16,1.000995
2000-03-17,0.996744
2000-03-20,1.000451
2000-03-21,0.999097
2000-03-22,0.996261
2000-03-23,1.006569
2000-03-24,1.003804
2000-03-27,0.997076
2000-03-28,1.001092
2000-03-29,0.995683
2000-03-30,1.004374
2000-03-31,0.994814
2000-04-03,1.001518
2000-04-04,1.000639
2000-04-05,0.997240
2000-04-06,0.996706
2000-04-07,0.995899
2000-04-10,1.002749
2000-04-11,0.998063
2000-04-12,0.999432
2000-04-13,1.000010
2000-04-14,1.001433
2000-04-17,0.993752
2000-04-18,0.999236
2000-04-19,0.997523
2000-04-20,0.997466
2000-04-24,1.002066
2000-04-25,0.992213
2000-04-26,0.997625
2000-04-27,0.995554
2000-04-28,0.991910
2000-05-01,1.001469
2000-05-02,1.000352
2000-05-03,1.000462
2000-05-04,0.992387
2000-05-05,1.003249
2000-05-08,0.992284
2000-05-09,1.004736
2000-05-10,0.995106
2000-05-11,0.992545
2000-05-12,1.010917
2000-05-15,0.992031
2000-05-16,0.995635
2000-05-17,0.991881
2000-05-18,0.998270
2000-05-19,1.004140
2000-05-22,1.003805
2000-05-23,0.997336
2000-05-24,0.998568
2000-05-25,0.999848
2000-05-26,1.011705
2000-05-30,1.005624
2000-05-31,0.999049
2000-06-01,0.999255
2000-06-02,1.012445
2000-06-05,1.007433
2000-06-06,1.008850
2000-06-07,1.001953
2000-06-08,0.991887
2000-06-09,0.995563
2000-06-12,1.003515
2000-06-13,1.006697
2000-06-14,1.000290
2000-06-15,0.997226
2000-06-16,1.009560
2000-06-19,0.997560
2000-06-20,1.002125
2000-06-21,0.989621
2000-06-22,0.997537
2000-06-23,0.992370
2000-06-26,0.993782
2000-06-27,1.009472
2000-06-28,1.003909
2000-06-29,1.008051
2000-06-30,0.998209
2000-07-03,1.011327
2000-07-05,0.989361
2000-07-06,0.997739
2000-07-07,1.001027
2000-07-10,1.007787
2000-07-11,0.997417
2000-07-12,0.990564
2000-07-13,0.995500
2000-07-14,1.002804
2000-07-17,1.001638
2000-07-18,0.993937
2000-07-19,0.992340
2000-07-20,1.016997
2000-07-21,1.000390
2000-07-24,0.998286
2000-07-25,1.001213
2000-07-26,1.004530
2000-07-27,0.992635
2000-07-28,0.992631
2000-07-31,0.994483
2000-08-01,0.997104
2000-08-02,0.999510
2000-08-03,0.999753
2000-08-04,1.002484
2000-08-07,1.001939
2000-08-08,0.994855
2000-08-09,0.999757
2000-08-10,1.001610
2000-08-11,1.000591
2000-08-14,0.998599
2000-08-15,1.006685
2000-08-16,1.009558
2000-08-17,1.003797
2000-08-18,0.987398
2000-08-21,0.997202
2000-08-22,0.994627
2000-08-23,0.997476
2000-08-24,1.003266
2000-08-25,0.997651
2000-08-28,0.999533
2000-08-29,0.993770
2000-08-30,1.005544
2000-08-31,0.997850
2000-09-01,1.008885
2000-09-05,0.989279
2000-09-06,0.985829
2000-09-07,1.000751
2000-09-08,0.989739
2000-09-11,0.994981
2000-09-12,0.996623
2000-09-13,0.996843
2000-09-14,1.003063
2000-09-15,0.827670
2000-09-18,0.998340
2000-09-19,1.001186
2000-09-20,0.996341
2000-09-21,1.012935
2000-09-22,1.008529
2000-09-25,1.000784
2000-09-26,1.006832
2000-09-27,1.000637
2000-09-28,0.995673
2000-09-29,0.996638
2000-10-02,0.996064
2000-10-03,0.992723
2000-10-04,0.999450
2000-10-05,0.993925
2000-10-06,0.997872
2000-10-09,0.999857
2000-10-10,1.006291
2000-10-11,1.001022
2000-10-12,0.997704
2000-10-13,0.989968
2000-10-16,0.989526
2000-10-17,1.001916
2000-10-18,0.992954
2000-10-19,1.002795
2000-10-20,1.001400
2000-10-23,0.999552
2000-10-24,1.000237
2000-10-25,0.987142
2000-10-26,0.998917
2000-10-27,1.009212
2000-10-30,0.999307
2000-10-31,1.001785
2000-11-01,1.005891
2000-11-02,0.998035
2000-11-03,1.009115
2000-11-06,0.993196
2000-11-07,1.003499
2000-11-08,0.988784
2000-11-09,1.005515
2000-11-10,0.995793
2000-11-13,1.005113
2000-11-14,0.993328
2000-11-15,0.998098
2000-11-16,0.994365
2000-11-17,0.999319
2000-11-20,0.995778
2000-11-21,0.995676
2000-11-22,1.010008
2000-11-24,0.991771
2000-11-27,1.014814
2000-11-28,0.998890
2000-11-29,0.998104
2000-11-30,1.012622
2000-12-01,1.007195
