date,fES_2,fES_1,fNKD_2,fNKD_1,fFDAX_1,fFDAX_2,fFESX_2,fSXF_1,fSXF_2,fFESX_1
2012-01-02,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2012-01-03,0.000000,0.000000,0.000000,0.000000,-0.203277,0.000000,0.000000,0.000000,0.000000,-0.202204
2012-01-04,0.000000,0.199184,0.000000,-0.198099,-0.197400,0.000000,0.000000,-0.198856,0.000000,-0.195857
2012-01-05,0.000000,0.199208,0.000000,-0.198624,-0.198671,0.000000,0.000000,-0.199265,0.000000,-0.196237
2012-01-06,0.000000,0.198632,0.000000,-0.195054,-0.196958,0.000000,0.000000,-0.197493,0.000000,-0.196549
2012-01-09,0.000000,0.199908,0.000000,-0.199713,-0.198625,0.000000,0.000000,-0.200406,0.000000,-0.198840
2012-01-10,0.000000,0.204204,0.000000,-0.204596,-0.207308,0.000000,0.000000,-0.204611,0.000000,-0.208044
2012-01-11,0.000000,0.199833,0.000000,-0.199602,-0.198757,0.000000,0.000000,-0.199142,0.000000,-0.198292
2012-01-12,0.000000,0.200924,0.000000,-0.199668,-0.201602,0.000000,0.000000,-0.201211,0.000000,-0.201499
2012-01-13,0.000000,0.199177,0.000000,-0.200787,-0.197988,0.000000,0.000000,-0.198834,0.000000,-0.198408
2012-01-16,0.000000,0.200158,0.000000,-0.201776,-0.203999,0.000000,0.000000,-0.200353,0.000000,-0.203576
2012-01-17,0.000000,0.202334,0.000000,-0.202534,-0.204568,0.000000,0.000000,-0.201592,0.000000,-0.203951
2012-01-18,0.000000,0.202602,0.000000,-0.203182,-0.201563,0.000000,0.000000,-0.202046,0.000000,-0.200412
2012-01-19,0.000000,0.202971,0.000000,-0.204981,-0.203565,0.000000,0.000000,-0.202411,0.000000,-0.205497
2012-01-20,0.000000,0.200173,0.000000,-0.201166,-0.200010,0.000000,0.000000,-0.200503,0.000000,-0.199558
2012-01-23,0.000000,0.200947,0.000000,-0.201481,-0.201645,0.000000,0.000000,-0.203183,0.000000,-0.201904
2012-01-24,0.000000,0.199345,0.000000,-0.199609,-0.198619,0.000000,0.000000,-0.196789,0.000000,-0.198533
2012-01-25,0.000000,0.201747,0.000000,-0.201888,-0.200520,0.000000,0.000000,-0.202823,0.000000,-0.199832
2012-01-26,0.000000,0.200477,0.000000,-0.200899,-0.205080,0.000000,0.000000,-0.199775,0.000000,-0.204649
2012-01-27,0.000000,0.199136,0.000000,-0.198878,-0.198974,0.000000,0.000000,-0.199750,0.000000,-0.198013
2012-01-30,0.000000,0.198200,0.000000,-0.197268,-0.196537,0.000000,0.000000,-0.198311,0.000000,-0.195882
2012-01-31,0.000000,0.200385,0.000000,-0.201414,-0.201044,0.000000,0.000000,-0.200387,0.000000,-0.201583
2012-02-01,0.000000,0.203540,0.000000,-0.202912,-0.206227,0.000000,0.000000,-0.202536,0.000000,-0.205935
2012-02-02,0.000000,0.201013,0.000000,-0.200783,-0.202089,0.000000,0.000000,-0.201234,0.000000,-0.201287
2012-02-03,0.000000,0.203556,0.000000,-0.202105,-0.204285,0.000000,0.000000,-0.201875,0.000000,-0.203924
2012-02-06,0.000000,0.199776,0.000000,-0.199888,-0.199732,0.000000,0.000000,-0.199162,0.000000,-0.199220
2012-02-07,0.000000,0.200821,0.000000,-0.200523,-0.199741,0.000000,0.000000,-0.199739,0.000000,-0.200521
2012-02-08,0.000000,0.200248,0.000000,-0.201255,-0.199618,0.000000,0.000000,-0.198848,0.000000,-0.199834
2012-02-09,0.000000,0.200638,0.000000,-0.201119,-0.201640,0.000000,0.000000,-0.200480,0.000000,-0.201010
2012-02-10,0.000000,0.197160,0.000000,-0.196214,-0.195627,0.000000,0.000000,-0.196454,0.000000,-0.195309
2012-02-13,0.000000,0.201649,0.000000,-0.202284,0.201396,0.000000,0.000000,-0.200265,0.000000,-0.200782
2012-02-14,0.000000,0.200249,0.000000,-0.202211,0.200464,0.000000,0.000000,-0.200492,0.000000,-0.200596
2012-02-15,0.000000,0.199706,0.000000,-0.203498,0.201552,0.000000,0.000000,-0.199868,0.000000,-0.201008
2012-02-16,0.000000,0.202596,0.000000,-0.203659,0.200148,0.000000,0.000000,-0.203306,0.000000,-0.200083
2012-02-17,0.000000,0.200851,0.000000,-0.202460,0.202930,0.000000,0.000000,-0.199209,0.000000,-0.202768
2012-02-20,0.000000,0.200725,0.000000,-0.202334,0.202869,0.000000,0.000000,-0.199085,0.000000,-0.202254
2012-02-21,0.000000,0.200517,0.000000,-0.200375,0.199768,0.000000,0.000000,-0.203291,0.000000,0.200134
2012-02-22,0.000000,0.200956,0.000000,-0.203675,0.199611,0.000000,0.000000,-0.202787,0.000000,0.199726
2012-02-23,0.000000,0.201355,0.000000,-0.200739,0.199224,0.000000,0.000000,-0.200487,0.000000,0.199367
2012-02-24,0.000000,0.199946,0.000000,-0.202200,0.201553,0.000000,0.000000,-0.200104,0.000000,0.201185
2012-02-27,0.000000,0.200133,0.000000,-0.197184,0.199446,0.000000,0.000000,-0.199520,0.000000,0.198915
2012-02-28,0.000000,0.201197,0.000000,-0.204754,0.201362,0.000000,0.000000,-0.201046,0.000000,0.200892
2012-02-29,0.000000,0.199150,0.000000,-0.199558,0.199097,0.000000,0.000000,-0.198677,0.000000,0.199298
2012-03-01,0.000000,0.200639,0.000000,-0.199689,0.201490,0.000000,0.000000,-0.201261,0.000000,0.202116
2012-03-02,0.000000,0.199163,0.000000,-0.200510,0.199740,0.000000,0.000000,-0.198317,0.000000,0.199921
2012-03-05,0.000000,0.199402,0.000000,-0.198189,0.198434,0.000000,0.000000,-0.198660,0.000000,0.198923
2012-03-06,0.000000,0.198125,0.000000,-0.197615,0.195275,0.000000,0.000000,0.196681,0.000000,0.195082
2012-03-07,0.000000,0.201337,0.000000,-0.202040,0.200232,0.000000,0.000000,0.200396,0.000000,0.200633
2012-03-08,0.000000,0.199460,0.000000,-0.202331,0.203017,0.000000,0.000000,0.200789,0.000000,0.202430
2012-03-09,0.000000,0.199614,0.000000,0.201426,0.200315,0.000000,0.000000,0.199515,0.000000,0.199097
2012-03-12,0.000000,0.200832,0.000000,0.198920,0.201079,0.000000,0.000000,0.198742,0.000000,0.200433
2012-03-13,0.000000,0.200624,0.000000,0.200353,0.200092,0.000000,0.000000,0.198310,0.000000,0.200613
